primary_key,first_name,last_name,birthday,email,home,mobile,street_1,street_2,city,state,zip,user_id
1,Marcia,Williams,"June 14, 1979",Marcia@example.com,(788) 210-8691,(460) 902-6229,9651 Liberty Ave. ,,Scotch Plains,NJ,07076,1
2,Monica,Johnson,"May 19, 1983",Monica@example.com,(317) 283-4527,(399) 829-6833,7849 Meadow St.,1st Floor,Plainfield,NJ,07060,2
3,Alana,Smith,"December 10, 1985",Alana@example.com,(829) 658-9345,(886) 535-0053,19 College Avenue,apt. 3F,Plainfield,NJ,07061,3
4,Stepanie,Jones,"March 28, 1988",Stepanie@example.com,(443) 371-5937,(542) 541-1082,595 Strawberry Ave,2nd Floor,Plainfield,NJ,07062,4
5,Aubrey,Brown,"September 22, 1942",Aubrey@example.com,(686) 217-5401,(340) 669-2666,9898 Adams Street,apt. 3G,Plainfield,NJ,07063,5
6,Alicia,Davis,"June 30, 1943",Alicia@example.com,(494) 262-4613,(593) 968-3002,861 Poplar Lane,apt. 4L,Vauxhall,NJ,07088,6
7,Daisy,Thomas,"March 23, 1960",Daisy@example.com,(403) 291-0649,(884) 210-0103,7923 Henry Rd,1st Floor,Vauxhall,NJ,07088,7
8,Jessica,Harris,"November 5, 1969",Jessica@example.com,(481) 799-5760,(966) 270-3782,8795 Fair Drive,apt. 6A,Vauxhall,NJ,07088,8
9,Antoinette,Robinson,"July 4, 1974",Antoinette@example.com,(417) 658-7337,(860) 793-9009,392 Windsor Street,2nd Floor,Vauxhall,NJ,07088,9
10,Deborah,Wilson,"October 26, 1974",Deborah@example.com,(371) 510-4108,(948) 998-4061,745 Lake View Street ,apt. 8B,Elizabeth,NJ,07208,10
11,Jacqueline,Taylor,"March 31, 1975",Jacqueline@example.com,(832) 430-7503,(951) 398-0088,7459 Catherine Drive Port Elizabeth,apt. 9G,Elizabeth,NJ,07209,11
12,Lashonda,Moore,"April 20, 1982",Lashonda@example.com,(395) 845-2548,(369) 954-4543,86 Old St. ,apt. 19H,Elizabeth,NJ,07210,12
13,Monika,White,"January 24, 1985",Monika@example.com,(845) 397-6330,(283) 688-1228,9651 Stone Rd,1st Floor,Elizabeth,NJ,07211,13
14,Jasmin,Lewis,"November 12, 1986",Jasmin@example.com,(217) 286-7486,(700) 809-5143,243 Edgefield Street,apt. 12F,Elizabeth,NJ,07212,14
15,Pamela,Walker,"March 19, 1989",Pamela@example.com,(759) 948-7467,(507) 484-7057,58 Trusel Ave,apt. 11J,Elizabeth,NJ,07213,15
16,Destiny,Green,"March 17, 1993",Destiny@example.com,(615) 648-8362,(326) 907-8492,70 Border Lane,apt. 14E,Elizabeth,NJ,07214,16
17,LaTrice,Thompson,"March 31, 1996",LaTrice@example.com,(514) 832-8104,(694) 855-3958,7904 Valley Street,2nd Floor,Plainfield,NJ,07060,17
18,Fatima,Washington,"July 23, 1997",Fatima@example.com,(646) 818-0368,(413) 591-6388,44 Senna Lane,apt. 6F,Plainfield,NJ,07061,18
19,Katrina,Anderson,"September 20, 1998",Katrina@example.com,(294) 681-8597,(796) 843-8426,177 Railroad Rd.,apt. 17B,Plainfield,NJ,07062,19
20,Aretha,Scott,"August 16, 2003",Aretha@example.com,(284) 408-8591,(470) 688-5089,9683 Pearl Court,1st Floor,Plainfield,NJ,07063,20
21,Catherine,Carter,"December 31, 1990",Catherine@example.com,(266) 559-2248,(942) 858-0331,94 Vermont Road ,apt. 19D,Plainfield,NJ,07060,21
22,Stacey,Wright,"October 5, 1991",Stacey@example.com,(390) 673-8346,(491) 556-2910,9 Pendergast Lane,,Plainfield,NJ,07061,22
