primary_key,username,password,role,image,salon_id
1,Marcey,7tYZvzsd,owner,https://randomuser.me/api/portraits/thumb/women/89.jpg,1
2,Monica,L8Mkgfc2,stylist,https://randomuser.me/api/portraits/thumb/women/76.jpg,1
3,Alana,ENM5ZvCQ,stylist,https://randomuser.me/api/portraits/thumb/women/6.jpg,1
4,Steph1988,cARxzTrV,stylist,https://randomuser.me/api/portraits/thumb/women/16.jpg,1
5,Aubrey,tUDpDYNn,client,https://randomuser.me/api/portraits/thumb/women/79.jpg,1
6,Alicia,Zdkd2Mv8,client,https://randomuser.me/api/portraits/thumb/women/17.jpg,1
7,Daisy,Uu3sbvZb,client,https://randomuser.me/api/portraits/thumb/women/24.jpg,1
8,Jessie,3MayEjy7,client,https://randomuser.me/api/portraits/thumb/women/30.jpg,1
9,Net1974,czSmN6g4,client,https://randomuser.me/api/portraits/thumb/women/7.jpg,1
10,Debbie,hnK46KuW,client,https://randomuser.me/api/portraits/thumb/women/8.jpg,1
11,Jackie,h2Q3g2sH,client,https://randomuser.me/api/portraits/thumb/women/9.jpg,1
12,Shonda,cDkScsFb,client,https://randomuser.me/api/portraits/thumb/women/10.jpg,1
13,Monika,RZtsvaGr,client,https://randomuser.me/api/portraits/thumb/women/12.jpg,1
14,Jas1986,YufYQZrs,client,https://randomuser.me/api/portraits/thumb/women/42.jpg,1
15,Pam1989,L34Hwr7L,client,https://randomuser.me/api/portraits/thumb/women/35.jpg,1
16,Destiny,6WpmjWsx,client,https://randomuser.me/api/portraits/thumb/women/2.jpg,1
17,Trice,h3tHrvV2,client,https://randomuser.me/api/portraits/thumb/women/3.jpg,1
18,Fatima,dwwdSpEq,client,https://randomuser.me/api/portraits/thumb/women/52.jpg,1
19,Kat1998,atcfS3XX,client,https://randomuser.me/api/portraits/thumb/women/45.jpg,1
20,Re2003,Fwg4jXRN,client,https://randomuser.me/api/portraits/thumb/women/21.jpg,1
21,Cat1990,2EdWbNZ4,client,https://randomuser.me/api/portraits/thumb/women/64.jpg,1
22,Stacey,wefrHcBh,client,https://randomuser.me/api/portraits/thumb/women/13.jpg,1
23,Roxie,RrSKCKt9,client,https://randomuser.me/api/portraits/thumb/women/31.jpg,1
24,Helen,jDCsZcYn,client,https://randomuser.me/api/portraits/thumb/women/37.jpg,1
25,Melissa,r8WuTMH2,client,https://randomuser.me/api/portraits/thumb/women/86.jpg,1
26,Juliet,hYDeDVZ9,client,https://randomuser.me/api/portraits/thumb/women/75.jpg,1
27,Denise,HKYC9rUR,client,https://randomuser.me/api/portraits/thumb/women/70.jpg,1
28,Ruth2003,sRLwbxbM,client,https://randomuser.me/api/portraits/thumb/women/62.jpg,1
29,Terrance,gkDH6byN,client,https://randomuser.me/api/portraits/thumb/women/77.jpg,1
30,Michael,NzD8H5cg,client,https://randomuser.me/api/portraits/thumb/women/67.jpg,1
31,Vanessa,EQ6jDLQR,client,https://randomuser.me/api/portraits/thumb/women/37.jpg,1
32,Corey,PZpT7JmL,client,https://randomuser.me/api/portraits/thumb/women/76.jpg,1
33,Sharonda,6SgT4Kmh,client,https://randomuser.me/api/portraits/thumb/women/11.jpg,1
34,Tyra,MjQqQG2c,client,https://randomuser.me/api/portraits/thumb/women/53.jpg,1
35,Ivory,z2hzGjnG,client,https://randomuser.me/api/portraits/thumb/women/47.jpg,1
36,Aisa,qpacPW7d,client,https://randomuser.me/api/portraits/thumb/women/46.jpg,1
37,Keisha,VpZtWXwm,client,https://randomuser.me/api/portraits/thumb/women/55.jpg,1
38,Meagan,2FNA7XxS,client,https://randomuser.me/api/portraits/thumb/women/5.jpg,1
39,LaTasha,gGXMpdEc,client,https://randomuser.me/api/portraits/thumb/women/86.jpg,1
